age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
34,1,1,3,1,1,1,1,109,1,0,0,1,1.4,93.444,-36.1,4.963,5228.1,no
38,1,1,3,1,2,2,1,113,1,0,1,2,-1.8,92.843,-50,1.687,5099.1,no
33,1,1,2,0,2,1,2,393,3,0,0,1,1.4,94.465,-41.8,4.865,5228.1,no
51,1,2,3,1,1,1,1,151,2,0,0,1,-2.9,92.963,-40.8,1.268,5076.2,no
30,1,2,2,0,2,1,2,256,1,0,0,1,1.4,94.465,-41.8,4.864,5228.1,no
48,1,1,3,1,1,1,1,42,7,0,0,1,1.4,93.444,-36.1,4.962,5228.1,no
28,1,2,2,1,2,1,2,525,1,0,0,1,1.4,94.465,-41.8,4.864,5228.1,no
36,1,1,2,1,2,1,2,57,1,0,0,1,1.1,93.994,-36.4,4.859,5191,no
46,1,3,2,1,1,1,1,499,1,0,0,1,-0.1,93.2,-42,4.12,5195.8,no
31,1,2,0,1,2,1,1,84,1,0,1,2,-1.8,92.893,-46.2,1.334,5099.1,no
20,2,2,0,1,1,1,1,137,3,0,3,2,-1.1,94.601,-49.5,0.977,4963.6,no
35,1,1,2,0,2,1,1,31,1,0,0,1,-1.8,92.893,-46.2,1.344,5099.1,no
38,1,1,2,0,0,0,2,430,1,0,0,1,1.4,94.465,-41.8,4.967,5228.1,no
76,3,1,3,1,1,1,1,126,1,0,1,2,-1.7,94.027,-38.3,0.899,4991.6,no
45,1,3,4,1,2,1,1,211,3,0,0,1,1.4,93.918,-42.7,4.961,5228.1,no
32,1,1,2,1,2,2,1,340,1,0,0,1,-1.8,92.893,-46.2,1.313,5099.1,no
39,1,2,3,0,1,1,1,412,2,0,0,1,-1.8,92.893,-46.2,1.327,5099.1,no
32,1,1,3,1,1,1,2,132,1,0,0,1,-0.1,93.2,-42,4.592,5195.8,no
29,1,2,2,1,1,1,1,79,2,0,0,1,-1.8,92.893,-46.2,1.299,5099.1,no
44,1,1,4,1,1,1,1,341,2,0,0,1,1.4,93.444,-36.1,4.97,5228.1,no
32,1,1,2,1,1,2,1,157,3,0,0,1,1.4,93.918,-42.7,4.957,5228.1,no
56,3,1,3,1,2,1,1,252,1,0,2,2,-2.9,92.963,-40.8,1.26,5076.2,no
33,1,1,2,1,2,1,1,263,1,0,0,1,-1.8,92.893,-46.2,1.327,5099.1,no
39,1,1,2,1,1,1,1,215,3,0,0,1,1.4,93.444,-36.1,4.966,5228.1,no
24,1,1,3,1,2,2,1,89,2,3,1,3,-3.4,92.379,-29.8,0.77,5017.5,yes
33,1,2,3,1,2,1,1,143,1,0,0,1,-1.8,92.893,-46.2,1.327,5099.1,no
58,1,3,3,1,1,1,2,40,2,0,0,1,1.4,94.465,-41.8,4.866,5228.1,no
29,1,2,3,1,2,1,2,10,27,0,0,1,1.4,94.465,-41.8,4.959,5228.1,no
31,1,1,3,1,2,1,1,113,1,0,0,1,1.4,93.444,-36.1,4.964,5228.1,no
27,1,1,3,1,1,1,2,191,5,0,0,1,1.1,93.994,-36.4,4.857,5191,no
60,1,3,4,1,2,1,1,481,1,0,1,2,-1.1,94.199,-37.5,0.886,4963.6,yes
55,1,1,4,1,2,2,1,233,1,0,2,2,-3.4,92.431,-26.9,0.739,5017.5,no
37,1,1,2,1,2,1,1,204,2,0,0,1,-1.8,92.893,-46.2,1.334,5099.1,no
52,1,1,0,1,2,1,2,403,1,6,1,3,-1.8,93.749,-34.6,0.654,5008.7,yes
46,1,1,2,1,2,1,1,180,1,0,0,1,-1.8,93.075,-47.1,1.405,5099.1,no
42,1,3,2,1,2,1,1,16,2,0,0,1,-1.8,92.893,-46.2,1.281,5099.1,no
35,1,2,3,1,2,1,1,447,3,0,0,1,1.4,93.918,-42.7,4.96,5228.1,no
49,1,3,0,1,2,2,1,81,1,0,0,1,-3.4,92.431,-26.9,0.754,5017.5,no
29,1,3,2,1,1,2,2,361,3,0,0,1,1.4,94.465,-41.8,4.865,5228.1,no
32,1,1,2,1,1,1,1,1091,2,5,1,3,-0.1,93.2,-42,4.191,5195.8,yes
37,1,1,3,1,1,1,1,395,1,0,1,2,-1.8,92.893,-46.2,1.313,5099.1,no
39,1,2,4,0,1,1,2,432,4,0,0,1,1.4,94.465,-41.8,4.865,5228.1,yes
51,1,1,2,0,2,1,2,596,3,0,0,1,1.4,93.918,-42.7,4.962,5228.1,yes
28,1,2,2,1,2,1,1,59,3,0,0,1,-1.8,92.893,-46.2,1.291,5099.1,no
34,1,1,3,1,2,1,1,77,4,0,0,1,-1.8,92.893,-46.2,1.281,5099.1,no
31,1,2,2,1,2,2,1,768,1,0,0,1,1.4,93.444,-36.1,4.966,5228.1,yes
31,1,1,3,1,2,1,1,96,5,0,0,1,1.4,93.444,-36.1,4.962,5228.1,no
31,1,2,3,1,2,1,2,357,2,0,0,1,1.4,94.465,-41.8,4.864,5228.1,no
38,1,2,3,1,1,1,2,459,2,0,0,1,1.1,93.994,-36.4,4.855,5191,no
33,2,1,2,1,1,1,2,11,6,0,0,1,1.4,94.465,-41.8,4.959,5228.1,no
32,1,2,3,1,1,1,1,264,12,0,0,1,1.4,93.444,-36.1,4.966,5228.1,no
54,1,1,4,0,2,1,1,698,1,0,0,1,-1.8,93.075,-47.1,1.405,5099.1,no
41,1,3,2,1,2,1,2,204,2,0,0,1,1.4,94.465,-41.8,4.961,5228.1,no
59,1,1,2,0,1,1,1,93,7,0,0,1,1.4,93.444,-36.1,4.963,5228.1,no
57,3,1,3,1,2,1,1,374,1,2,1,3,-1.8,93.075,-47.1,1.365,5099.1,no
38,1,3,3,1,2,1,1,252,1,0,0,1,-0.1,93.2,-42,4.076,5195.8,no
46,1,1,3,1,2,1,2,158,1,0,0,1,1.1,93.994,-36.4,4.857,5191,no
37,2,2,3,1,2,2,1,95,1,0,0,1,-0.1,93.2,-42,4.153,5195.8,no
47,1,2,2,1,0,0,2,835,3,0,0,1,1.4,94.465,-41.8,4.961,5228.1,yes
45,1,2,3,1,1,1,1,505,1,0,0,1,1.4,93.444,-36.1,4.964,5228.1,yes
36,1,1,2,1,2,1,2,16,1,0,0,1,1.4,93.918,-42.7,4.962,5228.1,no
40,2,2,2,1,2,1,1,300,5,0,0,1,1.4,93.918,-42.7,4.96,5228.1,no
38,1,1,2,1,1,1,1,180,2,0,1,2,-0.1,93.2,-42,4.153,5195.8,no
44,1,1,2,0,1,1,2,390,2,0,0,1,1.4,94.465,-41.8,4.961,5228.1,no
25,1,1,3,1,2,1,2,274,2,0,0,1,1.1,93.994,-36.4,4.857,5191,no
30,1,2,2,1,2,1,2,135,5,0,0,1,1.4,93.918,-42.7,4.961,5228.1,no
43,1,1,4,1,1,1,1,257,2,0,0,1,-0.1,93.2,-42,4.153,5195.8,no
58,3,1,2,0,1,1,2,268,3,0,0,1,1.1,93.994,-36.4,4.857,5191,no
31,1,1,4,1,2,1,2,157,6,0,0,1,1.1,93.994,-36.4,4.856,5191,no
53,1,1,3,1,1,1,1,477,2,0,0,1,1.4,93.918,-42.7,4.961,5228.1,no
52,1,1,0,1,1,1,1,91,1,0,0,1,1.4,93.444,-36.1,4.968,5228.1,no
37,1,1,3,0,1,2,1,76,1,0,1,2,-1.8,93.075,-47.1,1.405,5099.1,no
58,1,1,2,0,2,1,1,103,1,0,0,1,1.4,93.918,-42.7,4.961,5228.1,no
37,1,1,2,1,2,2,1,436,3,0,0,1,-1.8,92.893,-46.2,1.266,5099.1,no
38,1,2,0,1,2,1,1,191,1,0,0,1,-1.8,92.893,-46.2,1.313,5099.1,no
33,1,2,2,1,2,1,1,483,2,0,0,1,-1.8,93.075,-47.1,1.41,5099.1,no
45,1,1,2,0,2,1,1,250,1,0,0,1,-1.8,92.893,-46.2,1.25,5099.1,no
44,1,1,4,1,1,1,2,259,1,0,0,1,1.1,93.994,-36.4,4.858,5191,no
38,1,1,2,1,2,1,2,389,2,0,0,1,1.4,93.918,-42.7,4.966,5228.1,no
34,1,1,2,1,1,1,2,7,1,0,0,1,-1.7,94.055,-39.8,0.702,4991.6,no
47,1,1,3,1,2,1,1,123,1,0,0,1,-2.9,92.469,-33.6,1.029,5076.2,no
59,1,1,3,1,2,2,1,92,1,0,0,1,-2.9,92.469,-33.6,1.085,5076.2,no
51,1,1,2,0,2,2,1,297,2,0,0,1,1.4,93.444,-36.1,4.964,5228.1,no
31,1,1,2,1,2,1,2,406,2,0,0,1,1.4,94.465,-41.8,4.864,5228.1,no
56,1,1,3,1,2,2,1,104,1,0,1,2,-0.1,93.2,-42,4.12,5195.8,no
39,1,1,3,1,1,1,2,135,2,0,0,1,1.4,94.465,-41.8,4.961,5228.1,no
41,1,1,3,1,2,1,1,854,1,0,0,1,-0.1,93.2,-42,4.153,5195.8,yes
41,1,3,2,1,2,1,1,147,1,0,0,1,-0.1,93.2,-42,4.076,5195.8,no
53,1,1,2,0,1,1,2,203,4,0,0,1,1.1,93.994,-36.4,4.86,5191,no
35,1,1,2,1,1,2,1,149,4,0,0,1,1.4,93.918,-42.7,4.962,5228.1,no
58,3,1,2,1,1,2,1,144,1,0,0,1,-1.8,92.893,-46.2,1.334,5099.1,no
25,1,1,4,1,2,1,2,394,2,0,0,1,1.4,94.465,-41.8,4.959,5228.1,no
35,1,3,2,1,2,1,1,523,1,0,1,2,-1.8,92.893,-46.2,1.344,5099.1,no
28,1,2,2,1,1,1,1,73,1,0,0,1,1.4,93.918,-42.7,4.963,5228.1,no
55,1,1,4,1,2,2,1,197,3,0,1,2,-1.8,92.893,-46.2,1.25,5099.1,no
54,1,1,2,0,1,2,2,108,1,0,0,1,1.1,93.994,-36.4,4.855,5191,no
45,1,3,2,0,1,1,1,80,2,0,0,1,1.4,93.918,-42.7,4.962,5228.1,no
32,1,1,2,1,2,1,1,114,1,0,1,2,-1.8,93.075,-47.1,1.41,5099.1,no
50,1,1,2,0,2,1,1,122,3,0,0,1,1.4,93.444,-36.1,4.963,5228.1,no
75,3,1,2,1,1,1,1,109,1,0,1,2,-1.8,93.075,-47.1,1.405,5099.1,yes
33,1,3,0,1,1,1,2,1161,4,0,0,1,1.1,93.994,-36.4,4.858,5191,no
29,1,1,3,1,1,2,1,181,2,0,0,1,1.4,93.444,-36.1,4.967,5228.1,no
45,1,1,3,1,2,1,1,239,1,0,0,1,-1.8,92.893,-46.2,1.327,5099.1,no
38,1,3,3,1,1,1,1,360,1,0,0,1,-1.8,93.075,-47.1,1.392,5099.1,yes
24,1,2,4,1,2,1,2,314,1,0,0,1,1.1,93.994,-36.4,4.858,5191,no
41,1,1,4,1,2,1,1,984,1,0,0,1,1.4,93.444,-36.1,4.963,5228.1,no
58,3,3,2,1,2,1,1,663,1,0,0,1,-2.9,92.963,-40.8,1.262,5076.2,yes
34,1,1,3,1,1,2,2,157,2,0,0,1,1.1,93.994,-36.4,4.857,5191,no
34,1,1,3,1,1,1,1,141,2,0,0,1,-1.1,94.767,-50.8,1.05,4963.6,no
37,1,3,4,1,1,1,2,374,1,0,0,1,1.1,93.994,-36.4,4.856,5191,no
53,1,3,2,1,1,1,2,706,1,0,0,1,1.4,94.465,-41.8,4.959,5228.1,yes
54,1,3,4,1,2,2,1,797,14,0,0,1,1.4,93.918,-42.7,4.961,5228.1,no
32,1,3,4,1,2,1,1,250,1,0,0,1,-0.1,93.2,-42,4.153,5195.8,no
42,1,1,2,1,2,1,1,311,6,0,0,1,1.4,93.918,-42.7,4.962,5228.1,no
28,1,2,4,1,2,1,1,63,2,3,1,3,-2.9,92.201,-31.4,0.851,5076.2,yes
33,1,2,2,1,2,1,2,111,1,0,0,1,1.1,93.994,-36.4,4.864,5191,no
41,1,1,2,1,2,1,1,148,2,0,0,1,-1.8,93.075,-47.1,1.405,5099.1,no
31,1,1,2,1,1,2,1,49,1,0,0,1,-0.1,93.2,-42,4.076,5195.8,no
40,1,1,2,0,1,2,2,171,4,0,0,1,1.1,93.994,-36.4,4.86,5191,no
53,0,1,2,1,1,2,1,242,1,0,1,2,-3.4,92.649,-30.1,0.716,5017.5,no
40,1,3,3,1,2,1,1,257,1,0,0,1,1.4,93.444,-36.1,4.965,5228.1,no
82,1,1,2,1,1,1,2,279,3,3,2,3,-1.1,94.199,-37.5,0.877,4963.6,yes
28,1,1,2,1,2,1,1,113,1,0,0,1,1.4,93.918,-42.7,4.96,5228.1,no
30,1,1,2,0,2,1,1,246,3,0,0,1,-0.1,93.2,-42,4.12,5195.8,no
31,2,2,3,1,2,1,1,309,1,6,3,3,-1.7,94.215,-40.3,0.835,4991.6,yes
32,1,2,3,1,2,1,1,168,1,0,0,1,1.4,93.444,-36.1,4.965,5228.1,no
54,1,1,2,1,2,1,1,153,1,0,0,1,1.4,93.444,-36.1,4.963,5228.1,no
31,1,1,2,1,1,1,1,152,1,0,0,1,1.4,93.918,-42.7,4.963,5228.1,no
50,1,1,0,1,2,1,1,90,2,0,0,1,1.4,93.444,-36.1,4.968,5228.1,no
47,1,2,0,1,1,1,1,117,2,0,0,1,1.4,93.918,-42.7,4.961,5228.1,no
31,1,2,2,1,2,2,1,149,1,0,0,1,-1.8,92.893,-46.2,1.281,5099.1,no
32,2,1,2,1,2,1,1,640,1,0,0,1,-0.1,93.2,-42,4.076,5195.8,no
46,1,2,2,1,2,1,1,199,2,0,2,2,-1.1,94.767,-50.8,1.048,4963.6,no
47,1,2,2,1,1,1,1,1114,2,0,0,1,-1.8,92.893,-46.2,1.299,5099.1,no
32,1,2,2,1,1,1,1,74,2,0,2,2,-1.1,94.767,-50.8,1.048,4963.6,no
52,1,3,2,0,1,1,1,190,1,0,0,1,-0.1,93.2,-42,4.191,5195.8,no
45,1,1,2,1,2,1,1,738,3,6,1,3,-1.1,94.601,-49.5,1.029,4963.6,yes
32,1,1,3,1,2,1,1,374,2,0,0,1,-1.8,92.893,-46.2,1.313,5099.1,no
71,1,3,2,0,1,1,1,224,1,0,0,1,-1.7,94.027,-38.3,0.904,4991.6,no
49,1,1,2,1,2,1,2,344,2,0,0,1,1.1,93.994,-36.4,4.855,5191,no
46,1,1,2,1,2,2,2,148,10,0,0,1,1.4,94.465,-41.8,4.864,5228.1,no
46,1,1,4,1,1,1,1,383,1,0,0,1,-1.1,94.767,-50.8,1.028,4963.6,no
38,1,1,3,1,2,1,1,35,6,0,0,1,1.4,93.444,-36.1,4.965,5228.1,no
57,1,1,4,0,1,1,1,153,2,0,0,1,1.4,93.444,-36.1,4.965,5228.1,no
41,1,2,2,0,0,0,1,772,2,0,1,2,-1.8,92.893,-46.2,1.299,5099.1,no
44,1,1,4,1,1,1,2,124,3,0,0,1,1.1,93.994,-36.4,4.864,5191,no
47,1,1,3,1,2,1,1,345,7,0,0,1,1.4,93.444,-36.1,4.964,5228.1,no
40,1,1,2,1,2,2,2,951,2,0,0,1,1.1,93.994,-36.4,4.858,5191,no
57,3,2,4,1,2,1,2,188,1,0,0,1,1.1,93.994,-36.4,4.857,5191,no
27,1,2,0,1,1,1,1,128,1,3,1,3,-1.8,93.369,-34.8,0.637,5008.7,yes
52,1,1,2,1,1,1,1,809,1,0,0,1,1.4,93.444,-36.1,4.966,5228.1,yes
34,1,1,3,1,2,2,2,192,1,0,0,1,-2.9,92.963,-40.8,1.26,5076.2,no
42,1,1,3,1,2,1,2,154,1,0,0,1,1.1,93.994,-36.4,4.857,5191,no
51,1,1,0,1,2,1,2,17,3,0,0,1,1.4,94.465,-41.8,4.959,5228.1,no
45,1,1,2,0,2,1,2,100,1,0,0,1,1.1,93.994,-36.4,4.855,5191,no
56,3,1,2,1,1,1,1,317,1,0,0,1,-1.8,92.893,-46.2,1.244,5099.1,no
41,1,1,3,1,2,1,1,93,1,0,0,1,-1.8,92.893,-46.2,1.327,5099.1,no
44,1,1,2,1,2,1,1,111,1,0,0,1,1.4,93.444,-36.1,4.964,5228.1,no
50,1,1,2,1,2,1,1,293,3,3,1,3,-1.8,92.893,-46.2,1.354,5099.1,yes
54,1,1,2,1,1,1,1,119,3,0,0,1,1.4,93.444,-36.1,4.963,5228.1,no
51,1,1,2,1,1,1,1,393,1,0,0,1,1.4,93.444,-36.1,4.964,5228.1,no
30,1,2,2,1,1,1,1,30,1,0,0,1,-0.1,93.2,-42,4.12,5195.8,no
42,1,1,2,0,2,1,2,38,8,0,0,1,1.4,94.465,-41.8,4.959,5228.1,no
41,1,1,4,0,2,1,2,442,11,0,0,1,1.4,94.465,-41.8,4.865,5228.1,no
47,1,2,2,1,1,1,1,187,2,0,0,1,-0.1,93.2,-42,4.153,5195.8,no
35,1,1,2,1,2,1,1,113,1,0,1,2,-1.8,93.075,-47.1,1.405,5099.1,no
58,1,1,2,1,1,1,1,64,1,0,1,2,-0.1,93.2,-42,4.153,5195.8,no
50,1,3,2,1,2,2,1,629,2,0,0,1,1.4,93.918,-42.7,4.96,5228.1,yes
41,1,1,4,1,1,1,2,92,1,0,0,1,1.1,93.994,-36.4,4.856,5191,no
38,1,1,3,1,2,1,1,147,1,0,0,1,-1.8,92.893,-46.2,1.334,5099.1,no
32,2,2,3,1,1,1,1,151,2,0,0,1,-0.1,93.2,-42,4.076,5195.8,no
21,2,2,2,1,1,1,1,259,1,0,1,2,-2.9,92.201,-31.4,0.884,5076.2,no
46,1,3,2,0,1,1,2,423,1,0,0,1,1.1,93.994,-36.4,4.856,5191,no
42,1,1,3,1,2,1,1,888,3,0,0,1,-0.1,93.2,-42,4.021,5195.8,no
55,1,1,2,1,1,1,1,76,13,0,0,1,1.4,93.444,-36.1,4.964,5228.1,no
29,1,2,2,1,2,1,2,207,1,6,1,3,-1.1,94.767,-50.8,1.05,4963.6,no
30,1,2,2,0,2,1,2,100,1,0,0,1,1.4,94.465,-41.8,4.959,5228.1,no
53,1,1,2,1,2,1,1,63,1,0,0,1,-0.1,93.2,-42,4.12,5195.8,no
35,1,1,3,1,2,1,1,265,2,0,0,1,-0.1,93.2,-42,4.12,5195.8,no
46,1,1,4,1,2,1,2,273,4,0,0,1,1.1,93.994,-36.4,4.856,5191,no
30,1,1,0,1,1,1,2,85,2,0,0,1,1.1,93.994,-36.4,4.857,5191,no
43,1,1,3,0,2,1,1,261,1,0,0,1,1.4,93.918,-42.7,4.961,5228.1,no
42,1,1,2,0,2,1,1,136,4,0,0,1,1.4,93.918,-42.7,4.96,5228.1,no
32,1,1,4,1,1,1,1,711,1,0,0,1,1.4,93.918,-42.7,4.962,5228.1,no
41,1,3,2,1,2,1,1,88,1,0,1,2,-1.8,92.893,-46.2,1.313,5099.1,no
28,1,1,3,1,1,1,1,72,3,0,1,2,-1.8,92.893,-46.2,1.291,5099.1,no
24,1,2,3,1,1,1,1,113,6,0,0,1,1.4,93.918,-42.7,4.963,5228.1,no
43,1,1,3,0,2,2,1,307,1,0,0,1,-1.8,93.075,-47.1,1.405,5099.1,no
30,1,2,3,1,2,1,1,39,1,0,0,1,1.4,93.444,-36.1,4.97,5228.1,no
55,1,1,2,0,1,1,1,63,2,0,0,1,-0.1,93.2,-42,4.153,5195.8,no
51,3,1,2,0,1,1,1,64,1,0,0,1,1.4,93.918,-42.7,4.959,5228.1,no
22,2,2,2,1,1,2,1,154,2,0,0,1,1.4,93.918,-42.7,4.957,5228.1,no
32,1,2,3,1,1,2,1,126,1,0,0,1,-0.1,93.2,-42,4.076,5195.8,no
43,1,1,4,0,1,1,1,127,3,0,0,1,1.4,93.918,-42.7,4.968,5228.1,no
39,1,1,2,0,1,1,2,156,5,0,0,1,1.4,94.465,-41.8,4.865,5228.1,no
52,1,3,0,1,1,1,1,111,8,0,0,1,1.4,93.918,-42.7,4.961,5228.1,no
38,1,2,4,1,2,1,1,202,3,0,1,2,-1.8,92.893,-46.2,1.244,5099.1,no
59,3,1,2,1,1,1,2,353,4,0,0,1,-1.8,93.075,-47.1,1.453,5099.1,no
31,1,1,2,1,2,1,2,159,2,0,0,1,1.1,93.994,-36.4,4.857,5191,no
76,3,2,2,1,1,1,1,347,4,6,1,3,-3.4,92.649,-30.1,0.715,5017.5,yes
44,0,2,2,0,2,1,2,76,3,0,0,1,1.4,94.465,-41.8,4.96,5228.1,no
30,1,1,0,1,1,1,2,85,2,0,0,1,1.1,93.994,-36.4,4.864,5191,no
32,1,1,2,0,1,1,2,174,1,0,0,1,1.4,94.465,-41.8,4.959,5228.1,no
41,2,1,0,1,1,1,2,280,3,0,0,1,1.4,94.465,-41.8,4.967,5228.1,no
33,1,2,3,1,2,1,1,686,4,0,0,1,1.4,93.444,-36.1,4.963,5228.1,yes
59,3,1,2,1,2,1,1,94,1,0,0,1,1.4,93.444,-36.1,4.963,5228.1,no
28,1,1,2,1,2,1,1,225,3,0,0,1,1.4,93.918,-42.7,4.96,5228.1,no
33,1,2,2,1,2,1,1,474,2,0,0,1,-1.8,92.893,-46.2,1.313,5099.1,no
53,1,1,2,0,2,1,1,76,1,0,0,1,1.4,93.444,-36.1,4.964,5228.1,no
41,1,1,2,1,1,1,1,377,6,0,0,1,-1.8,92.843,-50,1.778,5099.1,yes
55,0,1,2,1,1,2,1,185,1,0,0,1,1.4,93.918,-42.7,4.962,5228.1,no
45,1,1,2,0,1,1,2,121,1,0,0,1,1.1,93.994,-36.4,4.856,5191,no
35,1,1,4,1,1,1,1,126,4,0,0,1,1.4,93.918,-42.7,4.968,5228.1,no
31,1,1,2,0,1,1,1,160,3,0,0,1,1.4,93.918,-42.7,4.96,5228.1,no
53,1,1,3,1,1,1,1,313,4,0,0,1,1.4,93.444,-36.1,4.965,5228.1,no
35,1,2,4,1,2,1,1,141,1,0,0,1,-1.8,92.893,-46.2,1.327,5099.1,no
45,1,3,2,0,2,1,1,219,1,0,0,1,-1.8,92.893,-46.2,1.327,5099.1,no
34,1,2,3,1,1,1,2,267,2,0,0,1,1.4,94.465,-41.8,4.961,5228.1,no
42,1,1,2,1,1,1,2,406,3,0,1,2,-1.8,93.075,-47.1,1.405,5099.1,no
36,1,1,2,1,2,2,1,151,3,0,0,1,-0.1,93.2,-42,4.076,5195.8,no
44,1,1,2,1,1,1,2,228,3,0,0,1,1.1,93.994,-36.4,4.856,5191,no
50,1,3,3,1,2,1,1,73,2,0,0,1,1.4,93.444,-36.1,4.965,5228.1,no
36,1,1,3,1,2,1,1,355,1,0,0,1,-3.4,92.379,-29.8,0.773,5017.5,no
27,1,1,4,1,1,1,1,102,9,0,0,1,1.4,93.918,-42.7,4.963,5228.1,no
40,1,1,0,1,1,1,2,97,3,0,0,1,1.1,93.994,-36.4,4.859,5191,no
25,1,2,3,1,2,2,2,35,6,0,0,1,1.4,94.465,-41.8,4.96,5228.1,no
29,1,1,3,1,2,2,1,116,2,0,0,1,1.4,93.444,-36.1,4.966,5228.1,no
44,1,1,2,1,1,1,2,83,3,0,0,1,1.1,93.994,-36.4,4.856,5191,no
57,1,1,0,0,2,1,2,473,2,0,0,1,1.1,93.994,-36.4,4.856,5191,no
30,1,2,2,1,2,1,1,605,1,0,0,1,1.4,93.918,-42.7,4.963,5228.1,no
37,1,1,3,1,2,2,1,585,2,0,0,1,1.4,93.444,-36.1,4.967,5228.1,no
57,1,1,2,1,1,1,1,94,1,0,0,1,1.4,93.918,-42.7,4.961,5228.1,no
32,1,1,4,1,2,1,1,255,1,0,0,1,1.4,93.918,-42.7,4.963,5228.1,yes
54,1,1,4,1,1,1,1,1868,2,10,1,3,-1.1,94.767,-50.8,1.035,4963.6,yes
58,1,1,2,1,2,1,1,846,1,0,0,1,1.4,93.444,-36.1,4.97,5228.1,yes
29,1,2,3,0,2,1,1,158,5,0,0,1,1.4,93.444,-36.1,4.963,5228.1,no
60,1,1,2,0,1,1,1,73,1,0,0,1,1.4,93.444,-36.1,4.966,5228.1,no
27,2,2,3,1,1,1,2,404,2,0,0,1,1.4,94.465,-41.8,4.864,5228.1,no
30,2,1,2,1,2,1,1,383,3,0,0,1,1.4,93.918,-42.7,4.961,5228.1,no
42,1,1,2,1,1,1,2,51,1,0,0,1,1.1,93.994,-36.4,4.859,5191,no
48,1,1,2,1,1,1,2,87,1,0,0,1,1.4,94.465,-41.8,4.864,5228.1,no
35,1,2,3,1,1,1,1,167,2,0,0,1,1.4,93.444,-36.1,4.97,5228.1,no
46,1,1,2,0,2,2,2,440,1,0,0,1,1.1,93.994,-36.4,4.857,5191,no
57,3,0,2,1,1,1,2,673,1,0,0,1,1.1,93.994,-36.4,4.857,5191,no
30,1,1,2,1,1,1,2,151,3,0,0,1,1.4,94.465,-41.8,4.865,5228.1,no
28,1,2,2,1,2,2,1,48,4,0,1,2,-1.8,93.075,-47.1,1.41,5099.1,no
34,1,1,2,0,2,1,2,309,1,0,0,1,1.1,93.994,-36.4,4.856,5191,no
