Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,RainToday,RainTomorrow
5/16/2013,Albury,9.1,14,1.4,NA,NA,SW,50,Yes,Yes
5/17/2013,Albury,3.5,14.9,1.6,NA,NA,WNW,31,Yes,No
5/18/2013,Albury,1.4,13.1,0,NA,NA,W,31,No,No
5/19/2013,Albury,0.6,15,0.2,NA,NA,WNW,28,No,Yes
5/20/2013,Albury,2.9,14.6,1.4,NA,NA,E,20,Yes,No
5/21/2013,Albury,5.3,14.9,1,NA,NA,SSE,15,No,No
5/22/2013,Albury,2.8,13.5,0,NA,NA,NNW,15,No,No
5/23/2013,Albury,5.4,17.2,0,NA,NA,SE,33,No,No
5/24/2013,Albury,1.4,17.4,0,NA,NA,WNW,22,No,No
5/25/2013,Albury,-0.2,16.3,0,NA,NA,W,22,No,No
5/26/2013,Albury,1.3,12.8,0.2,NA,NA,NNE,9,No,No
5/27/2013,Albury,1.1,16.6,0,NA,NA,SE,17,No,No
5/28/2013,Albury,2.7,18,0.2,NA,NA,SE,15,No,No
5/29/2013,Albury,4.2,19.3,0,NA,NA,N,22,No,No
5/30/2013,Albury,7.8,15.2,0.6,NA,NA,ENE,26,No,Yes
5/31/2013,Albury,11.2,17.6,16,NA,NA,NE,30,Yes,Yes
6/1/2013,Albury,10.3,15.4,19.4,NA,NA,N,35,Yes,Yes
6/2/2013,Albury,11.4,17.3,53.4,NA,NA,SSW,31,Yes,No
6/3/2013,Albury,0.6,14.3,0.2,NA,NA,SW,22,No,No
6/4/2013,Albury,1.9,14.5,0,NA,NA,S,11,No,No
6/5/2013,Albury,3.5,13.6,0,NA,NA,E,59,No,No
6/6/2013,Albury,5.8,15,0.4,NA,NA,N,22,No,Yes
6/7/2013,Albury,8.5,16.9,1.2,NA,NA,WNW,39,Yes,No
6/8/2013,Albury,1.7,14.6,1,NA,NA,SE,13,No,No
6/9/2013,Albury,0.6,13.8,0.2,NA,NA,WNW,13,No,No
6/10/2013,Albury,3.1,13.8,0,NA,NA,NNW,13,No,No
6/11/2013,Albury,3.4,15.6,0,NA,NA,E,20,No,Yes
6/12/2013,Albury,4.9,11.8,15,NA,NA,SE,28,Yes,Yes
6/13/2013,Albury,10,13.4,16.8,NA,NA,WNW,28,Yes,Yes
6/14/2013,Albury,4.3,12.2,3.6,NA,NA,NW,11,Yes,No
6/15/2013,Albury,1.2,15.4,0.2,NA,NA,WNW,17,No,No
6/16/2013,Albury,-0.2,14.3,0,NA,NA,WNW,17,No,No
6/17/2013,Albury,0.3,10.4,0.2,NA,NA,S,11,No,No
6/18/2013,Albury,3.1,15.5,0.6,NA,NA,SSW,15,No,No
6/19/2013,Albury,0.8,14.5,0,NA,NA,SSE,24,No,No
6/20/2013,Albury,0,14.1,0,NA,NA,WSW,15,No,No
6/21/2013,Albury,-0.5,13.2,0.2,NA,NA,SE,13,No,No
6/22/2013,Albury,-1.3,13.9,0,NA,NA,SSE,15,No,No
6/23/2013,Albury,-0.4,14.1,0,NA,NA,SE,19,No,No
6/24/2013,Albury,2,13.1,0,NA,NA,SSE,26,No,No
6/25/2013,Albury,7.8,17,1,NA,NA,SSE,39,No,No
6/26/2013,Albury,0.9,16.8,0,NA,NA,SE,48,No,No
6/27/2013,Albury,-0.1,14.1,0,NA,NA,E,11,No,No
6/28/2013,Albury,2,16,0,NA,NA,N,13,No,No
6/29/2013,Albury,4.3,18.4,0,NA,NA,WNW,17,No,No
6/30/2013,Albury,1.4,15.7,0,NA,NA,W,19,No,No
7/1/2013,Albury,2,12.9,0,NA,NA,ENE,20,No,No
7/2/2013,Albury,7.4,16,0.6,NA,NA,WNW,26,No,No
7/3/2013,Albury,3.1,14.8,0,NA,NA,E,15,No,No
7/4/2013,Albury,1.9,15.4,0.2,NA,NA,N,48,No,No
7/5/2013,Albury,8.4,12.2,0,NA,NA,WNW,72,No,Yes
7/6/2013,Albury,4.8,13.3,1.6,NA,NA,NNW,35,Yes,Yes
7/7/2013,Albury,6.1,13,2.2,NA,NA,WNW,39,Yes,Yes
7/8/2013,Albury,4.6,13.9,2.6,NA,NA,W,26,Yes,No
7/9/2013,Albury,-0.5,12.6,0,NA,NA,SE,17,No,No
7/10/2013,Albury,3.2,14.9,0.2,NA,NA,ESE,15,No,No
7/11/2013,Albury,1.7,15.1,0,NA,NA,SE,15,No,No
7/12/2013,Albury,1.5,15.8,0,NA,NA,SE,19,No,No
7/13/2013,Albury,5,14.8,0,NA,NA,ENE,17,No,Yes
7/14/2013,Albury,8,14,5,NA,NA,N,33,Yes,Yes
7/15/2013,Albury,11.1,14.6,5,NA,NA,NNE,37,Yes,Yes
7/16/2013,Albury,10.1,15.5,2.4,NA,NA,E,20,Yes,Yes
7/17/2013,Albury,11.1,18,2,NA,NA,NE,24,Yes,No
7/18/2013,Albury,12.1,20.5,0,NA,NA,NNE,57,No,Yes
7/19/2013,Albury,13.5,17.3,33.6,NA,NA,NNE,52,Yes,Yes
7/20/2013,Albury,8.3,11.9,4.4,NA,NA,NNW,52,Yes,Yes
7/21/2013,Albury,4.5,11.2,7.2,NA,NA,NW,35,Yes,No
7/22/2013,Albury,4.4,11.7,0,NA,NA,N,31,No,No
7/23/2013,Albury,3.4,12.4,0.6,NA,NA,WNW,30,No,No
7/24/2013,Albury,1.9,14.7,0,NA,NA,W,17,No,No
7/25/2013,Albury,0.8,11.3,0,NA,NA,SE,13,No,No
7/26/2013,Albury,3.5,12.8,0,NA,NA,SE,17,No,No
7/27/2013,Albury,0.3,13.9,0,NA,NA,ENE,19,No,No
7/28/2013,Albury,3,16.1,0.2,NA,NA,NE,35,No,Yes
7/29/2013,Albury,6.2,17.7,5,NA,NA,NNE,52,Yes,No
7/30/2013,Albury,5.7,13.2,0.2,NA,NA,W,24,No,No
7/31/2013,Albury,5,14.5,0,NA,NA,ESE,17,No,No
8/1/2013,Albury,2.8,14.3,0,NA,NA,ESE,13,No,No
8/2/2013,Albury,7,15.9,0,NA,NA,WNW,52,No,Yes
8/3/2013,Albury,4.7,10.4,1.2,NA,NA,NNW,43,Yes,No
8/4/2013,Albury,6.3,13.1,1,NA,NA,WNW,48,No,Yes
8/5/2013,Albury,7.4,13.3,1.6,NA,NA,N,26,Yes,Yes
8/6/2013,Albury,8,13.6,2.8,NA,NA,WNW,37,Yes,No
8/7/2013,Albury,3.4,11.5,0.4,NA,NA,NE,28,No,Yes
8/8/2013,Albury,5.9,15.9,8.2,NA,NA,ENE,37,Yes,No
8/9/2013,Albury,2.6,11.2,0,NA,NA,NNW,20,No,Yes
8/10/2013,Albury,5.7,16.6,2.8,NA,NA,WNW,22,Yes,No
8/11/2013,Albury,2.9,15.6,0,NA,NA,NE,20,No,Yes
8/12/2013,Albury,5.8,14.9,17.2,NA,NA,W,69,Yes,Yes
8/13/2013,Albury,4.6,14.5,1.2,NA,NA,NW,41,Yes,No
8/14/2013,Albury,7.4,18.4,0,NA,NA,W,56,No,Yes
8/15/2013,Albury,1.8,14.1,6.6,NA,NA,W,20,Yes,No
8/16/2013,Albury,2.1,16.2,0,NA,NA,N,57,No,Yes
8/17/2013,Albury,6.4,14.4,3.8,NA,NA,N,44,Yes,No
8/18/2013,Albury,4.7,18.3,0.6,NA,NA,NNW,50,No,Yes
8/19/2013,Albury,6.6,11.3,6,NA,NA,SW,52,Yes,Yes
8/20/2013,Albury,1.5,10.7,9.8,NA,NA,WNW,35,Yes,No
8/21/2013,Albury,2.2,11,0.2,NA,NA,WNW,28,No,Yes
8/22/2013,Albury,6.4,11.9,4.2,NA,NA,WNW,44,Yes,Yes
8/23/2013,Albury,8.6,12.3,8.8,NA,NA,WNW,44,Yes,Yes
8/24/2013,Albury,6,15,4.2,NA,NA,W,22,Yes,No
8/25/2013,Albury,8.1,16.2,0,NA,NA,W,24,No,No
8/26/2013,Albury,9.5,17.1,0,NA,NA,WNW,28,No,No
8/27/2013,Albury,8.1,17.8,0.4,NA,NA,ENE,17,No,No
8/28/2013,Albury,5.4,20.8,0,NA,NA,ENE,20,No,Yes
8/29/2013,Albury,9.8,20,2.8,NA,NA,WNW,57,Yes,Yes
8/30/2013,Albury,10.2,18.5,3.6,NA,NA,NW,30,Yes,No
8/31/2013,Albury,6.1,20.7,0.2,NA,NA,ESE,20,No,No
9/1/2013,Albury,5.3,22.2,0,NA,NA,ENE,17,No,No
9/2/2013,Albury,7,23.8,0,NA,NA,E,15,No,No
9/3/2013,Albury,8,23.3,0,NA,NA,ESE,15,No,No
9/4/2013,Albury,7.5,23.7,0,NA,NA,WSW,54,No,No
9/5/2013,Albury,11.9,22.6,0,NA,NA,NNE,28,No,No
9/6/2013,Albury,13.6,20.9,0,NA,NA,W,22,No,No
9/7/2013,Albury,10.1,19.8,0,NA,NA,WSW,33,No,No
9/8/2013,Albury,4.8,18.8,0.2,NA,NA,WNW,30,No,No
9/9/2013,Albury,7.9,23.4,0,NA,NA,W,52,No,No
9/10/2013,Albury,12.5,17.5,0,NA,NA,WNW,50,No,No
9/11/2013,Albury,6.2,16,0.4,NA,NA,WNW,35,No,No
9/12/2013,Albury,2.4,15.4,0,NA,NA,W,46,No,No
9/13/2013,Albury,2.6,14.7,0,NA,NA,S,26,No,No
9/14/2013,Albury,6.4,19.3,0.8,NA,NA,WNW,28,No,No
9/15/2013,Albury,3.7,20.3,0.2,NA,NA,NNE,50,No,Yes
9/16/2013,Albury,7.7,13.6,3.2,NA,NA,SE,30,Yes,Yes
9/17/2013,Albury,10.8,18.4,37.4,NA,NA,WNW,35,Yes,No
9/18/2013,Albury,11.2,18.7,0.2,NA,NA,WNW,70,No,Yes
9/19/2013,Albury,7.7,14,1.2,NA,NA,NW,39,Yes,Yes
9/20/2013,Albury,7.3,14.9,2,NA,NA,W,43,Yes,No
9/21/2013,Albury,5.2,17.6,0.4,NA,NA,WSW,26,No,No
9/22/2013,Albury,5.8,20.4,0.2,NA,NA,E,30,No,No
9/23/2013,Albury,6.1,23.9,0.2,NA,NA,NE,31,No,No
9/24/2013,Albury,14.2,22.3,0,NA,NA,WNW,39,No,No
9/25/2013,Albury,10.6,24,0.2,NA,NA,WNW,31,No,No
9/26/2013,Albury,10.3,16.7,0.8,NA,NA,W,70,No,Yes
9/27/2013,Albury,2.6,18.5,3.6,NA,NA,ENE,22,Yes,No
9/28/2013,Albury,7.4,16.9,0,NA,NA,WNW,59,No,No
9/29/2013,Albury,3.7,20,0,NA,NA,NNW,26,No,No
9/30/2013,Albury,7,26.4,0,NA,NA,NNE,50,No,Yes
10/1/2013,Albury,15.8,17.2,1.6,NA,NA,WNW,72,Yes,Yes
10/2/2013,Albury,3.7,19.7,4,NA,NA,WNW,80,Yes,No
10/3/2013,Albury,6.8,16.5,1,NA,NA,W,43,No,No
10/4/2013,Albury,3.2,18.9,0,NA,NA,SW,20,No,No
10/5/2013,Albury,5.5,21.7,0,NA,NA,NNW,28,No,No
10/6/2013,Albury,6.2,22.9,0,NA,NA,W,41,No,No
10/7/2013,Albury,4.9,20.1,0,NA,NA,NW,31,No,No
10/8/2013,Albury,5.6,20.6,0,NA,NA,WNW,31,No,No
10/9/2013,Albury,5.6,24.3,0,NA,NA,NNE,28,No,No
10/11/2013,Albury,NA,18.5,NA,NA,NA,W,37,NA,No
10/12/2013,Albury,5.2,23.1,0,NA,NA,N,28,No,No
10/13/2013,Albury,6.8,24.7,0,NA,NA,W,61,No,Yes
10/14/2013,Albury,4.6,15.5,2.2,NA,NA,WNW,44,Yes,No
10/15/2013,Albury,2.5,20.1,0,NA,NA,NNE,30,No,No
10/16/2013,Albury,3.8,25.5,0,NA,NA,N,50,No,No
10/17/2013,Albury,11.2,17.7,0,NA,NA,WNW,69,No,No
10/18/2013,Albury,0.8,18.9,0,NA,NA,E,22,No,No
10/19/2013,Albury,3.6,24.7,0,NA,NA,E,28,No,No
10/20/2013,Albury,7.4,29.7,0,NA,NA,ENE,33,No,No
10/21/2013,Albury,10.8,27.6,0,NA,NA,WSW,33,No,Yes
10/22/2013,Albury,16,26.2,2.8,NA,NA,NW,52,Yes,Yes
10/23/2013,Albury,13.3,18.2,2.6,NA,NA,NW,46,Yes,No
10/24/2013,Albury,7.9,16.5,0.4,NA,NA,W,56,No,No
10/25/2013,Albury,2.1,17.5,0,NA,NA,WNW,35,No,No
10/26/2013,Albury,5,19.7,0,NA,NA,WNW,37,No,No
10/27/2013,Albury,5.3,21.3,0,NA,NA,NNW,22,No,No
10/28/2013,Albury,10.6,24.6,0,NA,NA,ENE,30,No,No
10/29/2013,Albury,9.4,22.6,0,NA,NA,SSE,46,No,No
10/30/2013,Albury,6,23.5,0,NA,NA,W,31,No,No
10/31/2013,Albury,6.3,25.2,0,NA,NA,W,28,No,No
11/1/2013,Albury,7.6,27.9,0,NA,NA,N,30,No,No
11/2/2013,Albury,8.6,27.9,0,NA,NA,W,26,No,No
11/3/2013,Albury,10.1,21.1,0,NA,NA,WSW,67,No,No
11/4/2013,Albury,3.1,20.3,0,NA,NA,W,30,No,No
11/5/2013,Albury,6.3,25.6,0,NA,NA,SE,33,No,No
11/6/2013,Albury,6.9,29.6,0,NA,NA,NNW,31,No,No
11/7/2013,Albury,8.9,34.3,0,NA,NA,SSE,22,No,No
11/8/2013,Albury,17.7,30.9,0,NA,NA,W,48,No,No
11/9/2013,Albury,9.3,21.9,0,NA,NA,WSW,43,No,No
11/10/2013,Albury,10.5,21.3,0,NA,NA,ESE,43,No,Yes
11/11/2013,Albury,10.6,17.1,5.8,NA,NA,SE,46,Yes,Yes
11/12/2013,Albury,12.1,18.6,4.4,NA,NA,W,46,Yes,No
11/13/2013,Albury,10.1,17.2,0.4,NA,NA,NNW,31,No,No
11/14/2013,Albury,8.2,21.5,0,NA,NA,SW,35,No,No
11/15/2013,Albury,5.1,25.1,0,NA,NA,WSW,35,No,No
11/16/2013,Albury,12.4,26,0,NA,NA,NE,54,No,No
11/17/2013,Albury,9.1,27.2,0,NA,NA,ESE,24,No,No
11/18/2013,Albury,9.5,28.4,0,NA,NA,NW,31,No,No
11/19/2013,Albury,10.2,31.1,0,NA,NA,W,22,No,No
11/20/2013,Albury,11.3,33.7,0,NA,NA,NW,59,No,No
11/21/2013,Albury,16.8,27.2,0,NA,NA,WSW,31,No,No
11/22/2013,Albury,10.6,27.1,0,NA,NA,W,46,No,No
11/23/2013,Albury,8.1,23.7,0,NA,NA,W,33,No,No
11/24/2013,Albury,8.6,26.1,0,NA,NA,SE,50,No,No
11/25/2013,Albury,11.5,26.7,0,NA,NA,ESE,48,No,No
11/26/2013,Albury,8.2,29.7,0,NA,NA,WSW,33,No,No
11/27/2013,Albury,10.5,32.6,0,NA,NA,W,31,No,No
11/28/2013,Albury,14.2,35.4,0,NA,NA,NNW,76,No,No
11/29/2013,Albury,13.1,25.6,0,NA,NA,WNW,33,No,No
11/30/2013,Albury,9,27.5,0,NA,NA,WNW,26,No,No
12/1/2013,Albury,9.9,30.4,0,NA,NA,E,33,No,No
12/2/2013,Albury,15.6,34.4,0,NA,NA,NE,28,No,No
12/3/2013,Albury,15.1,37.1,0,NA,NA,W,44,No,No
12/4/2013,Albury,21.5,23.7,0,NA,NA,NW,54,No,Yes
12/5/2013,Albury,10.1,17.5,29.4,NA,NA,WSW,56,Yes,Yes
12/6/2013,Albury,5.8,20.4,3.2,NA,NA,WNW,43,Yes,No
12/7/2013,Albury,7.7,26.1,0,NA,NA,ENE,44,No,No
12/8/2013,Albury,10.2,32.1,0,NA,NA,N,31,No,No
12/9/2013,Albury,18.1,30.4,0,NA,NA,WSW,50,No,No
12/10/2013,Albury,12.1,22.4,0,NA,NA,W,44,No,No
12/11/2013,Albury,10.9,24.5,0,NA,NA,W,43,No,No
12/12/2013,Albury,9.9,27.6,0,NA,NA,W,35,No,No
12/13/2013,Albury,11.2,30.2,0,NA,NA,W,37,No,No
12/14/2013,Albury,14.4,29.5,0,NA,NA,NW,33,No,No
12/15/2013,Albury,12.8,31.1,0,NA,NA,SW,41,No,No
12/16/2013,Albury,15.8,32.9,0,NA,NA,SSW,43,No,No
12/17/2013,Albury,16.9,34,0,NA,NA,N,30,No,No
12/18/2013,Albury,18.8,37.6,0,NA,NA,ENE,28,No,No
12/19/2013,Albury,19.2,39.7,0,NA,NA,NNW,37,No,No
12/20/2013,Albury,22.2,40.7,0.2,NA,NA,SW,46,No,No
12/21/2013,Albury,23.7,40.5,0,NA,NA,WNW,54,No,No
12/22/2013,Albury,25.2,36.4,0,NA,NA,SW,39,No,Yes
12/23/2013,Albury,18.3,23.9,5.2,NA,NA,NW,37,Yes,Yes
12/24/2013,Albury,11.6,29.1,13,NA,NA,SSE,20,Yes,No
12/25/2013,Albury,15.7,29.1,0,NA,NA,NNE,28,No,No
12/26/2013,Albury,14.9,30.8,0,NA,NA,SW,52,No,Yes
12/27/2013,Albury,14,32.5,1.4,NA,NA,SSE,24,Yes,No
12/28/2013,Albury,14.4,37.1,0,NA,NA,W,39,No,No
12/29/2013,Albury,16.1,30.9,0,NA,NA,WNW,35,No,No
12/30/2013,Albury,11.7,30.9,0,NA,NA,WNW,41,No,No
12/31/2013,Albury,10.4,31.4,0,NA,NA,WSW,43,No,No
1/1/2014,Albury,12,27.4,0,NA,NA,WNW,43,No,No
1/2/2014,Albury,16.7,27.7,0,NA,NA,W,31,No,No
1/3/2014,Albury,18.9,30.6,0.2,NA,NA,WSW,44,No,No
1/4/2014,Albury,13.1,25.6,0,NA,NA,W,46,No,No
1/5/2014,Albury,8.4,29.4,0,NA,NA,WNW,65,No,No
1/6/2014,Albury,12.1,23.7,0,NA,NA,WSW,56,No,No
1/7/2014,Albury,9.8,27.5,0,NA,NA,SSE,41,No,No
1/8/2014,Albury,14.2,30.4,0,NA,NA,SE,33,No,No
1/9/2014,Albury,16.9,29,0,NA,NA,NE,31,No,Yes
1/10/2014,Albury,14.4,33.6,1.4,NA,NA,NNE,28,Yes,No
1/11/2014,Albury,16.5,36.5,0,NA,NA,WSW,30,No,No
1/12/2014,Albury,18.8,38.9,0,NA,NA,SSE,30,No,No
1/13/2014,Albury,17.1,39,0,NA,NA,ESE,46,No,No
1/14/2014,Albury,18.6,41.2,0,NA,NA,NNW,33,No,No
1/15/2014,Albury,21,41.8,0,NA,NA,SSE,28,No,No
1/16/2014,Albury,23,43.6,0,NA,NA,N,35,No,No
1/17/2014,Albury,21.7,42.6,0,NA,NA,NE,33,No,No
1/18/2014,Albury,22,41.2,0,NA,NA,WSW,39,No,No
1/19/2014,Albury,21.3,37.9,0,NA,NA,NW,37,No,No
1/20/2014,Albury,19,34.2,0,NA,NA,SSE,52,No,No
1/21/2014,Albury,17.9,33.2,0,NA,NA,SW,41,No,No
1/22/2014,Albury,15.8,33.3,0,NA,NA,ESE,39,No,No
1/23/2014,Albury,16.2,34.5,0,NA,NA,NNE,31,No,Yes
1/24/2014,Albury,20.1,23.4,2.8,NA,NA,NE,41,Yes,Yes
1/25/2014,Albury,13.3,25.9,31,NA,NA,ESE,35,Yes,No
1/26/2014,Albury,12.4,29.4,0,NA,NA,SSE,28,No,No
1/27/2014,Albury,14.8,32.7,0,NA,NA,NNE,28,No,No
1/28/2014,Albury,16.4,36.6,0,NA,NA,N,31,No,No
1/29/2014,Albury,18.8,40.6,0,NA,NA,NNW,39,No,No
1/30/2014,Albury,20.6,39.7,0,NA,NA,N,35,No,No
1/31/2014,Albury,21.8,41.7,0,NA,NA,W,44,No,No
2/1/2014,Albury,23.2,41.6,0,NA,NA,W,39,No,No
2/2/2014,Albury,20.7,41.1,0,NA,NA,NNE,28,No,No
2/3/2014,Albury,20.5,40.5,0,NA,NA,W,57,No,Yes
2/4/2014,Albury,21,31.9,1.2,NA,NA,SE,48,Yes,No
2/5/2014,Albury,16.7,30.9,0,NA,NA,NNE,33,No,No
2/6/2014,Albury,16.6,33.7,0,NA,NA,NE,31,No,No
2/7/2014,Albury,16.7,36.8,0,NA,NA,SSW,37,No,No
2/8/2014,Albury,18.4,40.1,0,NA,NA,N,33,No,No
